TestField;0;10;10
SEA;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;SEA
SEA;SEA;SEA;DEF;DEF;DEF;DEF;SEA;SEA;SEA
SEA;SEA;SEA;DEF;DEF;DEF;DEF;SEA;SEA;SEA
SEA;SEA;DEF;DEF;DEF;DEF;DEF;DEF;SEA;SEA
SEA;SEA;DEF;DEF;DEF;DEF;DEF;DEF;SEA;SEA
DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF
DEF;SEA;SEA;DEF;DEF;DEF;DEF;SEA;SEA;DEF
DEF;SEA;SEA;DEF;DEF;DEF;DEF;SEA;SEA;DEF
DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF
DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF;DEF
5;5
X;ITEM;X;X;X;X;X;X;ITEM;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;ITEM;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;X;X;X
X;X;X;X;X;X;X;ITEM;ITEM;ITEM
ITEM
